CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific (excluding high income),0.964240015,0.968069971,0.969099998,0.971319973,0.978619993,0.982379973,0.987030029,0.988799989,0.99289,0.996559978,0.99346,0.99639,0.99805,0.99893,1.00244,1.00161,1.00491,1.00585,1.00708
Early-demographic dividend,0.878700018,0.886219978,0.896420002,0.932919979,0.934859991,0.94174999,0.948230028,0.956070006,0.968850017,0.980069995,0.98461,0.98942,0.99121,1.01679,1.01731,1.01769,1.03001,1.02642,1.02518
East Asia & Pacific,0.968050003,0.971549988,0.972450018,0.974380016,0.980830014,0.984220028,0.988359988,0.989859998,0.993579984,0.996860027,0.99392,0.99657,0.99803,0.99875,1.00188,1.001,1.00405,1.00508,1.00608
Europe & Central Asia (excluding high income),0.966239989,0.961499989,0.960200012,0.957210004,0.96134001,0.963419974,0.968020022,0.969669998,0.973770022,0.979900002,0.97902,0.97861,0.98331,0.98653,0.98806,0.9888,0.98965,0.98287,0.98307
Europe & Central Asia,0.984200001,0.982450008,0.980780005,0.979979992,0.982360005,0.982729971,0.984480023,0.985450029,0.987079978,0.988319993,0.9873,0.98696,0.98883,0.99466,0.99532,0.99526,0.99566,0.99061,0.99083
Ecuador,1.00575,1.0103,1.00486,1.00785,1.00228,1.00459,1.00568,1.00665,,1.02678,1.02145,1.02351,1.02808,1.02395,1.02267,1.02246,1.02095,1.01995,
Egypt,0.93284,0.94193,,0.95052,0.95747,,,,,0.97607,0.97123,0.96888,0.98528,0.98574,0.99601,,0.99319,0.99414,0.99651
Euro area,0.997969985,0.999719977,0.99703002,0.997669995,0.998939991,0.997940004,0.996379972,0.99763,0.997380018,0.993390024,0.99253,0.99166,0.99172,0.99528,0.99592,0.99582,0.99678,0.99289,0.99358
Eritrea,0.78421,0.78929,0.75389,0.75815,0.71754,0.72784,0.73062,0.78798,0.78194,0.78276,0.80947,0.81406,0.81864,0.93625,0.83619,0.85546,,0.87478,
Spain,1.03413,1.03155,1.03454,1.02864,1.03207,1.02966,1.02806,1.03071,1.02862,1.02205,1.0106,1.00387,1.00145,1.00694,1.00708,1.00453,1.01023,1.01564,
Estonia,1.02329,1.01794,1.01774,1.0235,1.0171,1.01028,1.01449,1.01461,1.01309,1.0055,0.99398,0.99148,0.99229,0.9921,0.99391,0.99779,1.00455,1.01176,
Ethiopia,0.65727,0.68757,0.69775,0.69989,0.73509,0.78271,0.81425,0.83641,0.86277,0.89218,0.90125,0.91225,0.92272,,,0.92146,,,
European Union,1.001929998,1.002850056,1.00090003,1.001919985,1.00248003,1.00059998,0.999450028,0.999270022,0.998390019,0.995530009,0.9939,0.99348,0.99312,1.00096,1.00134,1.00083,1.00095,0.99763,0.99792
Fragile and conflict affected situations,0.777390003,0.77414,0.778190017,0.790170014,0.775489986,0.800249994,0.805289984,0.810039997,0.817990005,0.824280024,0.83276,0.8392,0.8448,0.84992,0.85111,0.86689,0.87277,0.87435,0.87628
Finland,1.04842,1.05447,1.0566,1.05271,1.02023,1.02006,1.02063,1.02225,1.0224,1.02357,1.02248,1.02109,1.02188,1.05432,1.05676,1.05718,1.05761,1.05626,
Fiji,1.03109,1.02784,1.03849,1.03074,1.02282,,1.03923,1.04456,1.03134,1.03707,,1.03643,1.04857,,,,,,
France,0.99611,0.99773,0.99924,1.00242,1.00149,0.99844,0.99547,0.99783,0.99757,0.99833,1.00079,1.00325,1.00305,1.00568,1.00685,1.00342,1.0025,1.00116,
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,1.01922,1.02262,,,,,,,,,,,,,
