Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),C?te d'Ivoire,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Jamaica,Caribbean,,,,,,,,,,,,,,,,,,56.7
Proportion of women in managerial positions (%),Japan,Eastern Asia,,,,,,,,,,10.7,10.6,11.4,11.1,11.2,11.3,12.5,13,13.2
Proportion of women in managerial positions (%),Kazakhstan,Central Asia,,33,33.8,34.2,38,35.6,35.8,36.8,38.4,38.8,37.2,38.5,39.8,38.3,,37.1,,
Proportion of women in managerial positions (%),Jordan,Western Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Kenya,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Democratic People's Republic of Korea,Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Republic of Korea,Eastern Asia,5,5.9,5.6,5.9,6.9,7.8,8.2,8.8,9.6,8.6,9.4,10.1,11.1,11.4,11.1,10.4,9.8,12.3
Proportion of women in managerial positions (%),Kuwait,Western Asia,,,,,,13.9,,,,,,,,,,14,13.6,
Proportion of women in managerial positions (%),Kyrgyzstan,Central Asia,,,27.7,25.8,25.2,30.1,35.2,,,30.6,32.4,29.1,32.3,27.5,33.4,35.7,34.9,36.2
Proportion of women in managerial positions (%),Lao People's Democratic Republic,South-Eastern Asia,,,,,,,,,,,31.8,,,,,,,59
Proportion of women in managerial positions (%),Lebanon,Western Asia,,,,,11.2,,,8.4,,,,,,,,,,
Proportion of women in managerial positions (%),Lesotho,Southern Africa,,,,,,,36.9,,36.1,,,,,,,,,
Proportion of women in managerial positions (%),Latvia,Northern Europe,37.1,38.4,40.3,39.3,43.6,43.3,40.2,42.5,42.5,44.3,42.1,45.5,45.8,43.8,44.1,44.3,47.3,46.3
Proportion of women in managerial positions (%),Liberia,Western Africa,,,,,,,,,,,20,,,,,,,
Proportion of women in managerial positions (%),Libya,Northern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Liechtenstein,Western Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Lithuania,Northern Europe,42.7,46.4,47,40.8,45.4,43.2,40.5,38.1,40.2,39.2,41.1,39.1,38.9,39.6,38.6,39.6,39.4,39.3
Proportion of women in managerial positions (%),Luxembourg,Western Europe,26.9,30.2,22.1,28.8,26.7,23.8,26.8,21.2,27.5,19.1,24.7,24,18,14.9,22.5,18.2,17.7,18.8
Proportion of women in managerial positions (%),"China, Macao Special Administrative Region",Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Madagascar,Eastern Africa,,,,,,22.1,,,,,36.6,,25.1,,,31.8,,
Proportion of women in managerial positions (%),Malawi,Eastern Africa,,,,,,,,,,,,,,15.6,,,,
Proportion of women in managerial positions (%),Malaysia,South-Eastern Asia,,21.8,23.1,23.2,24.6,25.5,23.4,23,24.2,23.1,24.9,22.7,21.6,22.1,22.3,22.5,20.4,
