Indicator Name,geoAreaName,parentName,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),French Polynesia,Polynesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),French Southern Territories,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Djibouti,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Gabon,Middle Africa,,,,,,,85.6,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Georgia,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Gambia,Western Africa,,,,,,,,64.3,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),State of Palestine,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Germany,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Ghana,Western Africa,,,85.3,,,,,,72,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Gibraltar,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Kiribati,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Greece,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Greenland,Northern America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Grenada,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guadeloupe,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guam,Micronesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guatemala,Central America,,,,,,,,,,88.6,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guinea,Western Africa,,,,,,,50.3,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Guyana,South America,,,,82.8,,,,,,,,,
